Brand,Category,Notes,Country,Wiki,Image
Austin Reed,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904986/Vocal4Local/AustinReed%28Retailer%29/vsnpxyhue2ra0seupljq.jpg
Reiss,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904987/Vocal4Local/Reiss%28Brand%29/dle0sjyv6zqijwrhkroi.png
River Island,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904989/Vocal4Local/RiverIsland/d6upwoo77ruoahshdwoc.png
Rupert And Buckley,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904990/Vocal4Local/RupertAndBuckley/tq4oj489w7pvqncbgng8.jpg
S.E.H Kelly,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904991/Vocal4Local/SEHKelly/r9twsyfpsvyeymoiqtds.png
Shrimps,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904993/Vocal4Local/Shrimps%28Brand%29/molkldh3jbqi8868lbp3.jpg
Speedo,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904995/Vocal4Local/Speedo/tjkqnukvlgbo0yvyouqw.png
Spirit Of The Andes,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904996/Vocal4Local/SpiritOfTheAndes/mrlebk6mcekmal0ro1bm.png
Splash About International,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904998/Vocal4Local/SplashAboutInternational/hxsw7m63uw3kvo1kdhvq.png
Sunspel,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904999/Vocal4Local/Sunspel/tevmsukx6gnzrs5zgau4.png
Superdry,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905000/Vocal4Local/Superdry/c46hiaoxioxwry5vunzr.png
Swaine Adeney Brigg,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905002/Vocal4Local/SwaineAdeneyBrigg/i02oxy3ggwjba4t6rzvq.jpg
Tata Naka,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905003/Vocal4Local/TataNaka/wl7qyzibww3zyjxlfxsr.jpg
The Look Presents,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905006/Vocal4Local/TheLookPresents/nqrm6hmbedkhashro4mf.jpg
Thomas Pink,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905007/Vocal4Local/ThomasPink/yryqkki9rznnpsiknytn.png
Thornback & Peel,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905008/Vocal4Local/ThornbackPeel/sg7cwtoke48tqivqhoic.jpg
Aitor Throup,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905010/Vocal4Local/AitorThroup/gtybjwajpfgwcskytvvp.png
Tricouni,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905012/Vocal4Local/Tricouni%28Brand%29/eozhhaztriwaoypvnmhq.png
Turnbull & Asser,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905013/Vocal4Local/TurnbullAsser/c7unkfugokaq1hl8dbpm.jpg
Weird Fish,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905015/Vocal4Local/WeirdFish/tzv8mdtch4awifvodhn4.png
Whistles,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905017/Vocal4Local/Whistles%28Company%29/isyvg6i9cvokvlswbtci.png
Zaggora,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905018/Vocal4Local/Zaggora/bevl02dan4whopin4yra.png
Zoggs,Clothing,Clothing,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905019/Vocal4Local/Zoggs/y6wlbiwoyvydkbnwaeyz.jpg
Clothing Brands Of The United States â In American Fashion And Of American Clothing Companies.,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905022/Vocal4Local/ClothingBrandsOfTheUnitedStates%E2%80%94InAmericanFashionAndOfAmericanClothingCompanies/ovz6rs8paaqgidg1uqse.jpg
Top,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905024/Vocal4Local/Top/kp3uwdjxyjzjzmhc83h3.png
A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905027/Vocal4Local/ABCDEFGHIJKLMNOPQRSTUVWXYZ/ntdk6rtzjk8yw25toume.jpg
Gap Brands,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905028/Vocal4Local/%E2%96%BAGapBrands%E2%80%8E%288P%29/mvgiblhcq62bdkrlp16d.jpg
L.L. Bean,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905030/Vocal4Local/%E2%96%BALLBean%E2%80%8E%285P%29/mnr1yheqkim5wzqnsxvq.jpg
Levi Strauss & Co.,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905031/Vocal4Local/%E2%96%BALeviStraussCo%E2%80%8E%281C%2C5P%29/lgab26c46gx98jdxeesr.jpg
Pvh Clothing Brands,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905033/Vocal4Local/%E2%96%BAPvhClothingBrands%E2%80%8E%281C%2C7P%29/ckf8saqdnq5xu5ujiqwp.png
Tommy Hilfiger,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905035/Vocal4Local/%E2%96%BATommyHilfiger%E2%80%8E%287P%29/t8vrxeexo12r8p1eggoz.jpg
5.11 Tactical,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905037/Vocal4Local/511Tactical/lhixuqzazzdvrkfhf2rr.jpg
7 For All Mankind,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905039/Vocal4Local/7ForAllMankind/tr4nrvkp0sxz3clikz2y.png
'47,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905041/Vocal4Local/%2747%28Brand%29/cgr3gb5xt6jtiyemg3c5.png
6126,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905042/Vocal4Local/6126%28ClothingLine%29/bwk06ydotxnoetyqhwwg.png
A.K.O.O. Clothing,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905043/Vocal4Local/AKOOClothing/bglfefp3bkcl6gvv0xbi.jpg
Abby Z.,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905045/Vocal4Local/AbbyZ/n182jjs1ko75ps5yyun3.png
Abercrombie & Fitch,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905047/Vocal4Local/AbercrombieFitch/zjjnykp4miabadrbaf74.jpg
Acapulco Gold,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905050/Vocal4Local/AcapulcoGold%28ClothingBrand%29/hak5egfz6aosiq1uhxen.jpg
Acorn Stores,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905051/Vocal4Local/AcornStores/xeawhibkar3nxqejlf5h.jpg
AÃ©ropostale,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905053/Vocal4Local/A%C3%A9ropostale%28Clothing%29/dsakzbox7ujpjkd34peu.png
Agv Sports Group,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905055/Vocal4Local/AgvSportsGroup/zk61nxot6wjfbx9veyqu.jpg
Al Wissam,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905056/Vocal4Local/AlWissam/k8uawmu9ydtwy1r7wlj3.jpg
American Apparel,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905058/Vocal4Local/AmericanApparel/oo6gswcxjz1mrro257ll.png
American Eagle Outfitters,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905059/Vocal4Local/AmericanEagleOutfitters/ifseghrclxt9xxrpvxun.png
Anarchic Adjustment,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905061/Vocal4Local/AnarchicAdjustment/mvkhi19z6qiijeqrwwpa.png
Anchor Blue Clothing Company,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905063/Vocal4Local/AnchorBlueClothingCompany/nwvpvbbskvhb3vjull3z.jpg
Andrew Christian,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905064/Vocal4Local/AndrewChristian/orrxamczmaym29legdcr.jpg
Andrew Marc,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905066/Vocal4Local/AndrewMarc/wjotvaetjk5sr1drzdtm.png
Angels Jeanswear,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905067/Vocal4Local/AngelsJeanswear/tz4uqqqpimtut2ywyzw9.png
Anthropologie,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905069/Vocal4Local/Anthropologie/wtbbwkpyji9g4hvng8cp.jpg
Anti Social Social Club,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905071/Vocal4Local/AntiSocialSocialClub/et1wxz8111zp8qrlinkp.png
Apple Bottoms,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905073/Vocal4Local/AppleBottoms/xgol8ggjixqhcpzvgftk.png
Aquashift,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905074/Vocal4Local/Aquashift/iglefqvt2sriodhqviqa.png
Ashworth,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905076/Vocal4Local/Ashworth%28Clothing%29/hdvoybzbcjmow1s5yxnk.jpg
Atticus Clothing,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905077/Vocal4Local/AtticusClothing/iryo5nmkik61tbnlvqfd.png
Avirex,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905079/Vocal4Local/Avirex/cmhdxksvpvd6vov91lxa.png
Baby Gap,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905081/Vocal4Local/BabyGap/kpau2xvx2lsg3dqsrulg.png
Baby Phat,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905082/Vocal4Local/BabyPhat/kibd6l2llmfex9nspui0.png
Baci Lingerie,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905084/Vocal4Local/BaciLingerie/k7ocqqrnn0zlnnatpwvn.jpg
Ben Davis,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905088/Vocal4Local/BenDavis%28Clothing%29/chl2bqpcb7m8wo7kuyzg.png
Bernini,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905089/Vocal4Local/Bernini%28Fashion%29/fg3ivav2u9l4hsbrdcta.jpg
Bhldn,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905090/Vocal4Local/Bhldn/vhrgrl5tcy6isq2yc4nv.png
Big Johnson,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905092/Vocal4Local/BigJohnson/ond949hoc2tckus8ojnb.jpg
Bill Blass Group,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905094/Vocal4Local/BillBlassGroup/vzcowffjm3duxxecbgrt.png
Billionaire Boys Club,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905095/Vocal4Local/BillionaireBoysClub%28ClothingRetailer%29/xdjqa3mu9mrzpkapfg3w.png
Blair Corporation,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905097/Vocal4Local/BlairCorporation/hleutwpzyswszprn3dia.jpg
Blanc & Eclare,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905099/Vocal4Local/BlancEclare/ll73vk8mmvfopahfsmru.png
Bobby Jack Brand,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905100/Vocal4Local/BobbyJackBrand/rq5qvdtbtkmm4sdzlqpb.jpg
Born Uniqorn,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905101/Vocal4Local/BornUniqorn/a5mw5rsqwplxmlfwkmno.jpg
Botany 500,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905103/Vocal4Local/Botany500/dvf7shrbwf2isjg9z2as.jpg
Thom Browne,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905105/Vocal4Local/ThomBrowne/hz5yyqs7skolmogkdjwx.png
Buck Mason,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905106/Vocal4Local/BuckMason/uccz0oilfuqrers1aqen.png
Buckle,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905108/Vocal4Local/Buckle%28ClothingRetailer%29/shc6ffv4ymyizmmofapm.jpg
Callaway Golf Company,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905110/Vocal4Local/CallawayGolfCompany/qh9rqyt2mk8wts3qpuu9.png
Carlos Campos,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905111/Vocal4Local/CarlosCampos%28ClothingBrand%29/mwwzzpyoqljwuj7n0i5i.jpg
Capezio,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905113/Vocal4Local/Capezio/euozp5g5dwezdwvkqzlk.png
Carhartt,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905115/Vocal4Local/Carhartt/qf9s5giqtpzd9zusulnn.png
Carlisle Collection,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905116/Vocal4Local/CarlisleCollection/trm2d6l7l8mri9kxqxp2.jpg
Carter'S,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905118/Vocal4Local/Carter%27S/vbezun19w96heokmmi4b.png
Charivari,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905120/Vocal4Local/Charivari%28Store%29/hjiznv0ungjtpv56a5gh.jpg
Charlotte Russe,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905122/Vocal4Local/CharlotteRusse%28ClothingRetailer%29/u9xfmr31zjipzcfumle3.png
Cherokee Inc.,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905123/Vocal4Local/CherokeeInc/wveetmavoyqtqzueaw04.jpg
Chrome Hearts,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905125/Vocal4Local/ChromeHearts/bsao3m4cmzhqdiaymvta.jpg
Ck Calvin Klein,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905127/Vocal4Local/CkCalvinKlein/qgemjfjxhuzdg3bipfct.png
Club Monaco,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905128/Vocal4Local/ClubMonaco/ja4bfrkk4jhvigiz6hqm.png
Coldwater Creek,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905129/Vocal4Local/ColdwaterCreek/g7t1awgg7ownsicnzatz.png
Commonwealth Utilities,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905131/Vocal4Local/CommonwealthUtilities/y5u5azmu5w5bet4zhojf.png
Crazy Shirts,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905134/Vocal4Local/CrazyShirts/mardht7yxgnjysdapnfn.png
Cross Colours,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905136/Vocal4Local/CrossColours/aosmhyzkmcp5cfkilv3l.png
Dana Buchman,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905138/Vocal4Local/DanaBuchman/cj4ve8y46d6tespklsdm.jpg
Dcma Collective,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905139/Vocal4Local/DcmaCollective/du2reyjms7q2sii3uqat.jpg
Delia'S,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905140/Vocal4Local/Delia%27S/ziyxq7zw5eyslabgajvn.jpg
Discovery Expedition,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905142/Vocal4Local/DiscoveryExpedition%28Clothing%29/wxf2kcr3uucffybrdjes.jpg
Dl1961,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905143/Vocal4Local/Dl1961/ehqfqsyyzgutsknqsczz.png
Dockers,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905145/Vocal4Local/Dockers%28Brand%29/awx4491v3cvjw6zgwnxq.png
Dollie & Me,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905147/Vocal4Local/DollieMe/zz7wbyqw7qrr9x2uvo1b.jpg
Dolls Kill,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905149/Vocal4Local/DollsKill/g6u3eptltosvxizmj6nt.png
Draper James,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905150/Vocal4Local/DraperJames/zhtufrzgz8bq9anzdse3.png
Duck Head,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905152/Vocal4Local/DuckHead/hpfiginolhj7vjqzp5bm.jpg
E. Y. Wada,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905153/Vocal4Local/EYWada/ic7f9kjus2q5adpv2kgv.jpg
Eckhaus Latta,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905155/Vocal4Local/EckhausLatta/j9zrbxyi37ti7zwguecf.png
Ecko Unltd.,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905157/Vocal4Local/EckoUnltd/gbkyjbvsitpyphmkilbm.png
Eddie Bauer,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905159/Vocal4Local/EddieBauer/agn5lf17suacqadsj8wn.png
Edun Live On Campus,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905161/Vocal4Local/EdunLiveOnCampus/oooc4hpngkhsqqeodjat.png
Eggie,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905162/Vocal4Local/Eggie%28Brand%29/ogcdg2n25ildmzz7qn9k.png
The Elder Statesman,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905163/Vocal4Local/TheElderStatesman%28Brand%29/cg8spmtrwrze1n4un6ff.png
Element Skateboards,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905165/Vocal4Local/ElementSkateboards/bwmdsdhcgp8lbmugn7mn.jpg
Elizabeth Suzann,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905167/Vocal4Local/ElizabethSuzann/oqoldf6ksjhho9qg4rhc.png
Ella Moss,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905168/Vocal4Local/EllaMoss/fiv38utqiqr2ytvvbwgv.png
Emel Fashion,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905170/Vocal4Local/EmelFashion/akq92gvebdujq1lpl1r5.jpg
Enfants Riches DÃ©primÃ©s,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905172/Vocal4Local/EnfantsRichesD%C3%A9prim%C3%A9s/zssb1b37jacgimgdk2ts.png
Equipment,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905176/Vocal4Local/Equipment%28ClothingBrand%29/s0wt9kpst4roxc4ohcwg.jpg
Etcetera,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905177/Vocal4Local/Etcetera%28ClothingBrand%29/ltaov8toglyn627evlns.png
Etnies,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905179/Vocal4Local/Etnies/h2cwj2fjm2bmhbqbhvto.png
Ex-Boyfriend,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905181/Vocal4Local/ExBoyfriend/za1tqgiwozqaihddljcq.png
Fabletics,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905182/Vocal4Local/Fabletics/tp6j2rogroksssqavjem.jpg
Famous Stars And Straps,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905184/Vocal4Local/FamousStarsAndStraps/ngpwmoeb6c1fgyk4tmif.png
Femme For Dkny,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905185/Vocal4Local/FemmeForDkny/jjcldaxgn7kg87pwfqsw.jpg
Figs Ties,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905187/Vocal4Local/FigsTies/ke6qozdjfgujdm159ckc.png
Filson,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905188/Vocal4Local/Filson%28Company%29/e1gfv3siuegjba2s0thz.png
The Fly Stop,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905190/Vocal4Local/TheFlyStop/ful866hql8ozf5jf3e97.jpg
Forever 21,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905192/Vocal4Local/Forever21/mxesumro43nggflh3lvu.png
Frame,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905193/Vocal4Local/Frame%28Company%29/t34e0tydv8bl7btm6jt4.png
Free People,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905195/Vocal4Local/FreePeople/mzbktyvrdo9cpbxxpdda.png
Freshjive,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905197/Vocal4Local/Freshjive/mnuzrtaier2meq1iaqtk.png
Frostline Kits,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905199/Vocal4Local/FrostlineKits/ch4zqo64bi6tjox5kzvo.jpg
Fubu,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905200/Vocal4Local/Fubu/ckehrpl8bg0xte6gaiqq.png
Fuchsia,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905201/Vocal4Local/Fuchsia%28Clothing%29/zetzk4pw3f38tktl8cy9.jpg
Fuct,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905203/Vocal4Local/Fuct%28Clothing%29/gsgi9bimwrmz3rcfxwvl.png
G-Unit Clothing Company,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905205/Vocal4Local/GUnitClothingCompany/zvmfllrcrp6gafqkqspm.png
Gant,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905206/Vocal4Local/Gant%28Retailer%29/f8czn4sn9chmze8olnuw.png
Gap Inc.,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905207/Vocal4Local/GapInc/fftwczal9utainq9rc2n.png
Gap Kids,Clothing,Clothing,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905208/Vocal4Local/GapKids/d6niwvbmrgtxgmg0mumr.png
